licence,capacity,start_time,startX,startY 
2013013338,4,2013-11-18 15:00:19,-73.9955449,-40.7646309
2013013102,4,2013-11-18 15:00:20,-73.966157,-40.753878
2013010461,4,2013-11-18 15:00:20,-73.974915,-40.761667
2013004661,4,2013-11-18 15:00:20,-73.9640743,-40.7678636
2013003852,4,2013-11-18 15:00:21,-73.9627055,-40.769737
2013012028,5,2013-11-18 15:00:21,-73.992225,-40.737917
2013011420,4,2013-11-18 15:00:21,-73.999956,-40.718017
2013000547,4,2013-11-18 15:00:21,-73.995161,-40.744763
2013010718,4,2013-11-18 15:00:21,-73.9461727,-40.7772273
2013002420,5,2013-11-18 15:00:21,-73.969851,-40.7896744
2013010774,4,2013-11-18 15:00:22,-73.9713198,-40.7609688
2013000338,4,2013-11-18 15:00:22,-73.945728,-40.773622
2013013058,4,2013-11-18 15:00:22,-73.991798,-40.738504
2013001919,5,2013-11-18 15:00:22,-73.9554459,-40.7827842
2013003199,4,2013-11-18 15:00:23,-74.006407,-40.733054
2013004019,4,2013-11-18 15:00:24,-73.973276,-40.755243
2013005065,4,2013-11-18 15:00:25,-73.9877652,-40.7497921
2013001025,4,2013-11-18 15:00:25,-73.9935648,-40.7571456
2013009451,4,2013-11-18 15:00:25,-73.9937222,-40.7671047
2013009967,4,2013-11-18 15:00:25,-73.9904253,-40.766548
2013001242,4,2013-11-18 15:00:25,-73.969394,-40.7577
2013011850,4,2013-11-18 15:00:26,-73.9564983,-40.7671158
2013002759,4,2013-11-18 15:00:26,-73.89366229999999,-40.76657685
2013003126,4,2013-11-18 15:00:26,-73.9770038,-40.7876214
2013001929,4,2013-11-18 15:00:27,-73.9876044,-40.7704103
2013001019,4,2013-11-18 15:00:27,-73.98156,-40.743882
2013007241,4,2013-11-18 15:00:27,-73.9537477,-40.7668547
2013008370,3,2013-11-18 15:00:28,-73.9634155,-40.7576322
2013000075,5,2013-11-18 15:00:28,-73.998585,-40.724632
